Data,"Pedido #",Status,Cliente,Produto(s),"Itens vendidos",Cupom(ns),"Receita liquida"
"2020-04-09 18:55:52",14222,completed,new,,1,,360
"2020-04-19 15:56:30",14361,completed,new,,1,alunocps,252
"2020-04-20 12:40:21",14367,completed,new,,1,alunocps,252
"2020-05-12 22:31:02",14763,completed,new,,1,alunocps,252
"2020-04-20 10:55:18",14365,on-hold,new,,1,alunocps,252
"2020-08-07 08:00:41",16215,completed,new,,1,,220
"2020-06-25 15:29:12",15254,completed,new,,1,estudocsp,190
"2020-09-15 14:17:51",17025,completed,new,,1,andrecps,170.1
"2020-09-14 18:08:50",17020,completed,new,,1,andrecps,170.1
"2020-08-18 22:45:57",16492,completed,new,,1,,120
"2020-04-23 23:55:47",14437,completed,new,,1,italocsp,100
"2020-06-22 20:24:40",15247,completed,new,,1,alunocps,84
"2020-08-10 00:13:58",16233,completed,new,,1,,80
"2020-04-09 09:37:03",14173,completed,new,,1,,10
"2020-05-02 15:21:24",14576,completed,new,,1,soucps,0
"2020-04-24 14:23:59",14464,completed,new,,1,leocps,0
"2020-06-29 17:33:31",15263,completed,returning,,1,soucps,0
"2020-04-21 13:53:11",14371,completed,new,,1,soucps,0
"2020-03-26 18:26:52",13865,completed,new,,1,,0
"2020-05-02 18:12:37",14578,completed,new,,1,danielcsp,0
"2020-07-10 20:40:44",15439,completed,returning,,1,antoniocsp,0
"2020-05-13 09:20:36",14765,completed,returning,,1,soucps,0
"2020-05-13 09:28:09",14767,completed,returning,,1,soucps,0
"2020-06-29 17:35:09",15265,completed,returning,,1,soucps,0
"2020-05-26 10:27:46",14895,completed,returning,,1,soucps,0
"2020-06-15 12:46:05",15196,completed,new,,1,soucps,0
"2020-06-15 13:41:46",15198,completed,new,,1,soucps,0
"2020-06-19 14:36:15",15202,completed,returning,,1,soucps,0
"2020-05-13 11:05:23",14769,completed,returning,,1,soucps,0
"2020-04-18 02:59:02",14345,completed,new,,1,soucps,0
"2020-04-15 22:34:14",14298,completed,returning,,1,soucps,0
"2020-03-11 17:13:34",13035,completed,new,,1,soucps,0
"2020-03-11 17:13:01",13031,completed,new,,1,soucps,0
"2020-03-11 15:08:27",13023,completed,new,,1,soucps,0
"2020-03-11 15:02:54",13019,completed,new,,1,soucps,0
"2020-03-09 15:46:20",12874,completed,new,,1,soucps,0
"2020-03-09 15:40:37",12870,completed,new,,1,soucps,0
"2020-03-09 15:28:57",12858,completed,new,,1,soucps,0
"2020-03-09 15:28:46",12854,completed,new,,1,soucps,0
"2020-03-11 17:19:08",13039,completed,new,,1,soucps,0
"2020-03-12 15:53:54",13108,completed,returning,,1,soucps,0
"2020-03-17 12:42:42",13376,completed,new,,1,soucps,0
"2020-04-13 21:10:39",14291,completed,new,,1,soucps,0
"2020-04-12 13:53:51",14260,completed,new,,1,soucps,0
"2020-03-09 15:37:24",12862,completed,new,,1,soucps,0
"2020-04-08 20:14:04",14168,completed,new,,1,winicsp,0
"2020-03-28 16:04:53",13890,completed,new,,1,,0
"2020-03-26 19:57:11",13869,completed,new,,1,,0
"2020-03-26 19:47:23",13867,completed,new,,1,,0
"2020-03-20 20:57:35",13496,completed,new,,1,soucps,0
"2020-03-09 15:28:57",12858,completed,new,,1,soucps,0
"2020-03-09 15:28:46",12854,completed,new,,1,soucps,0
"2020-03-09 15:23:04",12850,completed,new,,1,soucps,0
"2020-03-09 15:15:48",12840,completed,new,,1,soucps,0
"2020-03-09 13:01:10",12807,completed,new,,1,soucps,0
"2020-03-12 15:31:34",13099,completed,new,,1,soucps,0
"2020-03-12 15:53:54",13108,completed,returning,,1,soucps,0
"2020-05-02 15:21:24",14576,completed,new,,1,soucps,0
"2020-04-24 14:23:59",14464,completed,new,,1,leocps,0
"2020-04-21 13:53:11",14371,completed,new,,1,soucps,0
"2020-04-18 02:59:02",14345,completed,new,,1,soucps,0
"2020-04-15 22:34:14",14298,completed,returning,,1,soucps,0
"2020-04-13 21:10:39",14291,completed,new,,1,soucps,0
"2020-04-12 13:53:51",14260,completed,new,,1,soucps,0
"2020-04-08 20:14:04",14168,completed,new,,1,winicsp,0
"2020-03-28 16:04:53",13890,completed,new,,1,,0
"2020-03-26 19:57:11",13869,completed,new,,1,,0
"2020-03-26 19:47:23",13867,completed,new,,1,,0
"2020-03-26 18:26:52",13865,completed,new,,1,,0
"2020-03-20 20:57:35",13496,completed,new,,1,soucps,0
"2020-03-17 12:42:42",13376,completed,new,,1,soucps,0
"2020-02-10 23:20:16",12276,completed,new,,1,soucps,0
